t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
25,9,1,5,4,11,28,21,7,6
26,13,2,8,17,14,28,23,10,12
27,18,3,15,19,19,28,24,22,15
25,22,1,14,5,13,28,19,4,5
26,23,2,15,8,16,28,20,7,10
27,24,3,16,8,18,28,21,11,11
28,1,8,6,16,7,14,5,2,10
29,3,17,12,21,9,19,15,13,20
30,4,23,17,26,11,27,25,22,24
25,21,4,7,1,5,28,18,16,6
26,23,9,13,2,11,28,19,17,8
27,24,10,14,3,12,28,22,20,15
25,22,15,7,2,19,28,5,3,1
26,23,16,14,4,20,28,11,8,9
27,24,17,18,6,21,28,13,11,10
25,11,1,3,1,22,28,9,3,13
26,17,7,8,3,23,28,12,14,16
26,17,15,10,6,24,28,21,20,19
25,1,2,6,8,15,28,12,14,7
26,5,3,10,13,16,28,17,20,10
27,9,4,18,21,18,28,21,24,21
25,22,2,1,9,16,28,8,10,3
26,23,5,18,10,17,28,13,12,4
27,24,5,20,14,18,28,21,15,7
25,22,10,13,5,2,28,16,19,1
26,23,11,14,6,7,28,17,20,3
27,24,12,15,7,9,28,17,21,4
25,1,3,7,7,19,28,6,2,4
26,10,5,11,12,20,28,17,9,16
27,15,14,13,18,24,28,21,23,22
25,20,2,13,5,15,28,14,1,3
26,22,11,15,6,17,28,21,9,4
27,24,12,18,8,18,28,23,10,6
25,15,1,4,8,7,28,21,17,2
26,18,3,14,10,12,28,23,19,5
27,22,9,16,11,13,28,24,20,6
25,19,3,2,8,21,28,6,5,1
26,20,13,4,12,23,28,14,6,10
27,22,16,10,17,24,28,18,9,15
25,20,2,12,4,17,28,11,6,1
26,23,3,13,8,18,28,18,9,7
27,23,5,14,9,22,28,20,16,15
25,4,1,16,7,13,28,5,6,7
26,23,2,21,11,19,28,17,9,10
27,24,3,22,12,20,28,18,15,14
