t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21
27,33,26,25,8,13,3,15,21,2,10,1
29,35,31,28,18,14,4,17,23,5,11,5
30,35,34,32,21,20,8,19,24,16,12,7
34,31,28,25,15,16,7,10,13,18,1,4
35,32,29,26,18,23,8,11,14,20,2,4
36,33,30,26,22,24,9,12,17,21,3,6
32,29,26,25,7,3,15,18,8,2,1,5
35,30,33,27,12,19,17,19,10,9,4,13
36,31,34,28,23,22,19,24,16,11,6,14
34,29,27,25,19,17,10,7,16,9,4,1
35,30,32,26,20,18,14,8,21,12,5,2
36,31,33,28,22,23,15,10,24,12,6,3
32,31,28,25,22,17,9,7,16,10,4,1
35,33,29,26,23,20,11,8,17,12,5,2
36,34,30,27,24,21,15,13,19,14,6,3
29,32,21,27,9,17,13,3,12,21,1,3
30,32,26,35,11,19,14,5,15,24,2,6
31,34,27,36,20,23,16,9,17,25,8,7
26,28,27,25,17,19,8,10,12,1,2,3
35,29,32,29,18,23,15,21,13,7,4,6
36,33,34,31,19,23,16,22,14,8,5,11
26,25,29,34,16,13,9,5,13,22,2,1
30,26,32,35,18,20,10,8,15,23,6,3
31,28,33,35,19,21,11,12,16,24,7,4
26,31,33,25,17,11,2,15,9,11,5,1
27,32,35,29,21,13,4,16,18,18,6,3
28,34,36,30,22,14,8,23,24,18,7,9
29,25,34,27,19,22,1,15,2,7,3,4
30,26,35,31,20,23,9,16,5,13,6,11
32,28,36,33,21,24,14,18,8,17,10,12
32,26,31,25,18,13,17,4,11,10,6,1
35,27,33,28,20,22,19,5,15,12,8,1
36,30,34,29,24,23,20,7,16,14,9,3
25,26,32,31,11,18,8,7,12,2,9,1
28,27,35,33,14,21,23,16,15,4,10,3
30,29,36,34,17,21,23,20,18,5,12,6
25,27,34,29,21,19,5,12,10,15,3,1
26,30,35,31,23,20,8,14,11,15,6,2
28,33,36,32,24,22,8,18,13,17,7,4
27,32,29,25,19,11,5,4,22,9,12,1
34,33,30,26,20,16,8,6,23,12,12,2
35,36,31,28,21,18,9,7,24,15,16,2
31,25,30,28,1,18,3,16,4,11,9,2
35,26,32,29,18,20,5,22,6,13,11,7
36,27,34,32,20,22,7,24,10,16,15,13
