t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10
28,12,1,5,4,14,31,24,8,7,6
29,16,2,9,20,17,31,26,13,15,9
30,21,3,18,22,22,31,27,25,18,9
28,25,1,17,6,16,31,22,5,6,4
29,26,2,18,10,19,31,23,8,13,8
30,27,3,19,10,21,31,24,14,14,12
31,2,11,9,19,10,17,8,3,13,1
32,4,20,15,24,12,22,18,16,23,4
33,6,26,20,29,14,30,28,25,27,7
28,24,6,10,1,8,31,21,19,9,2
29,26,12,16,3,14,31,22,20,11,5
30,27,13,17,4,15,31,25,23,18,7
28,25,17,8,3,22,31,6,4,1,2
29,26,19,16,5,23,31,13,9,10,12
30,27,20,21,7,24,31,15,13,11,18
28,14,1,4,1,25,31,11,4,16,3
29,20,9,10,4,26,31,15,17,19,7
29,20,18,13,8,27,31,24,23,22,12
28,1,2,6,8,16,31,12,14,7,15
29,5,3,10,13,17,31,18,21,10,26
30,9,4,19,22,19,31,22,25,22,26
28,25,3,1,12,19,31,11,13,4,2
29,26,8,21,13,20,31,16,15,5,6
30,27,8,23,17,21,31,24,18,10,7
28,25,13,16,7,2,31,19,22,1,4
29,26,14,17,8,9,31,20,23,3,6
30,27,15,18,9,12,31,20,24,4,9
28,1,6,10,10,22,31,9,4,7,2
29,13,8,14,15,23,31,20,12,19,3
30,18,17,16,21,27,31,24,26,25,5
28,23,2,15,5,17,31,16,1,3,11
29,25,13,17,6,19,31,24,9,4,12
30,27,14,21,8,21,31,26,10,6,19
28,18,3,6,11,10,31,24,20,4,1
29,21,5,17,13,15,31,26,22,8,2
30,25,12,19,14,16,31,27,23,9,7
28,22,4,3,10,24,31,8,6,1,2
29,23,16,5,15,26,31,17,8,13,7
30,25,19,13,20,27,31,21,12,18,11
28,23,3,15,5,20,31,14,9,1,1
29,26,4,16,11,21,31,21,12,10,6
30,26,8,17,12,25,31,23,19,18,7
28,4,1,19,7,16,31,5,6,7,10
29,26,2,24,12,22,31,20,9,10,14
30,27,3,25,13,23,31,21,18,17,15
