t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
40,50,38,39,37,49,14,20,26,7,24,12,31,6,3,17,1,2,45
43,56,40,46,42,53,28,23,34,8,27,20,33,10,9,18,10,3,51
44,56,47,52,48,55,31,30,36,14,29,22,34,25,14,19,13,3,54
52,49,41,46,40,26,24,25,27,12,16,9,20,30,19,1,7,4,55
53,50,44,47,42,29,30,38,32,13,17,10,22,34,21,2,7,5,56
54,51,45,48,42,35,37,39,32,15,18,14,28,36,23,3,11,6,57
53,50,45,40,37,42,11,4,17,24,27,19,12,3,8,2,6,1,38
56,51,47,54,43,44,20,28,21,26,28,28,14,13,15,5,22,9,39
57,52,47,55,46,49,34,33,28,28,36,35,25,16,18,7,23,10,41
49,43,49,39,37,40,29,27,21,17,11,9,26,14,16,7,1,2,55
53,45,51,47,38,42,30,28,34,24,12,13,31,22,17,8,3,4,56
54,46,52,48,41,44,32,33,36,25,17,15,35,22,17,10,5,6,57
50,49,43,44,37,40,32,26,29,16,13,7,25,17,15,9,1,2,55
53,51,47,45,38,41,35,30,32,18,14,8,26,19,19,10,4,3,56
54,52,48,46,39,42,36,31,32,24,21,11,28,22,23,12,6,5,57
42,50,41,32,39,42,15,27,26,20,6,4,19,32,18,1,6,3,54
47,50,45,38,53,44,17,30,29,23,8,11,24,36,21,2,9,5,56
49,52,48,39,55,46,31,35,34,25,15,14,27,37,22,12,10,13,57
47,49,40,48,46,42,31,33,19,14,17,18,21,1,5,3,4,2,16
56,50,41,53,50,44,32,38,28,26,35,22,23,12,7,6,10,11,24
57,54,43,55,52,45,33,38,37,29,36,30,25,14,8,8,19,13,26
44,43,39,47,52,37,28,25,20,13,8,9,25,34,14,5,1,2,55
48,44,40,50,53,38,30,32,23,16,12,17,27,35,15,10,6,3,56
49,46,42,51,53,41,31,33,24,21,22,19,28,36,18,11,7,4,57
38,49,41,51,37,40,27,17,21,6,24,5,15,17,19,9,3,1,55
39,50,43,53,44,45,33,20,22,8,26,9,30,30,27,11,7,2,56
42,52,47,54,48,46,34,22,25,14,35,11,36,30,29,13,15,4,57
49,41,40,55,46,42,31,34,2,1,25,22,3,12,10,4,7,4,35
50,44,43,56,51,47,32,37,17,15,26,27,8,22,13,9,20,6,36
52,47,45,57,53,54,33,38,18,24,30,29,14,28,15,18,21,10,39
50,41,38,49,37,42,28,22,25,27,8,3,20,18,14,11,4,1,51
55,45,39,52,46,42,31,33,30,29,10,9,24,21,17,15,4,2,54
56,48,40,53,47,44,36,35,33,31,12,13,25,23,19,16,6,7,57
41,43,37,50,49,40,17,28,17,14,13,24,19,6,1,15,3,2,55
46,44,38,53,51,42,21,33,22,35,24,27,22,8,4,16,7,9,56
48,47,39,54,52,45,26,33,31,35,32,30,28,10,4,19,12,11,57
43,47,41,55,50,39,33,31,22,8,21,17,16,25,11,6,2,1,37
44,51,45,56,52,42,35,32,27,14,24,18,18,25,12,9,4,3,38
49,54,48,57,53,46,36,34,30,14,29,20,23,28,13,10,7,4,40
43,50,51,46,41,40,32,19,21,9,7,8,36,15,19,22,4,1,13
53,51,56,48,42,44,33,28,35,14,10,12,38,22,22,22,5,2,15
54,55,57,49,45,46,34,31,36,15,11,18,39,26,30,28,5,3,27
52,38,41,50,46,37,3,29,27,6,25,13,7,18,1,13,5,4,44
56,39,45,53,49,39,29,31,28,8,33,16,9,20,2,18,11,15,46
57,41,46,55,53,43,31,33,35,11,35,23,17,25,10,24,20,22,51
