t0-ar,72.59,73.1,72.97,73.54,73.33,74.2,74.15,73.65,74.05,73.71,73.85,73.43,73.48,73.3,73.18,72.97,72.11,72.35,72.26,71.89,72.28,72.03,71.91,72.01,72.19
t0-bg,84.86,86.68,86.51,87.43,87.23,87.97,87.87,87.68,87.91,87.48,87.62,87.83,87.64,87.79,87.63,87.43,87.23,86.87,87.4,87.43,87.4,87.18,87.36,86.61,86.84
t0-eu,62.44,66.33,66.14,66.63,66.75,66.97,67.15,66.3,67.12,65.81,66.1,66.28,65.86,65.43,66.28,65.53,65.44,64.89,64.77,65.06,65.16,65.01,65.23,65.0,64.17
t0-fa,74.5,74.53,76.45,76.09,75.21,76.5,76.5,76.3,76.83,76.72,76.03,76.57,77.38,76.76,76.62,75.85,75.98,74.84,75.7,76.38,75.34,75.13,74.96,75.99,75.78
t0-fi_ftb,75.19,76.25,77.11,77.23,77.26,76.89,76.81,77.12,76.72,76.79,76.86,76.21,76.59,76.79,75.68,76.08,76.69,76.12,76.07,75.46,76.11,75.58,75.34,74.87,75.25
t0-grc,52.0,52.9,53.98,52.32,52.65,52.02,53.41,52.59,52.97,52.3,52.67,52.55,52.34,52.21,51.88,51.52,51.83,51.7,51.37,50.54,51.15,52.14,50.24,50.35,50.32
t0-he,75.75,76.93,78.32,77.59,77.91,77.69,78.17,77.27,77.66,78.33,78.18,77.4,77.56,77.31,77.47,77.43,77.35,76.79,77.31,77.02,76.82,76.78,76.92,76.88,75.64
t0-hr,74.77,76.06,77.53,76.65,77.59,77.25,76.57,76.74,77.8,77.1,77.36,77.09,76.96,76.6,77.02,76.92,76.77,76.86,76.14,76.34,76.37,75.74,76.23,75.26,75.36
t0-it,82.31,83.41,83.57,83.48,84.2,84.03,83.77,84.12,83.74,84.22,84.07,83.59,83.68,83.24,83.44,83.29,83.46,84.04,83.18,82.72,83.57,83.2,83.7,82.76,82.63
t0-la_proiel,59.94,61.43,62.36,61.5,62.52,61.76,62.31,61.85,62.12,61.89,62.31,62.04,61.32,61.54,61.91,60.94,61.18,60.84,60.79,60.78,60.59,59.87,60.88,59.26,60.07
t0-nl,75.84,76.43,76.3,76.9,76.89,77.63,77.52,77.92,77.7,77.95,77.23,76.52,76.79,76.34,76.84,76.24,76.67,75.55,75.52,76.55,75.85,75.5,76.03,75.98,75.4
t0-pl,82.55,85.55,84.75,86.1,86.02,85.72,85.67,85.75,86.11,86.17,85.44,85.3,85.2,85.6,85.2,85.57,84.67,85.64,85.4,85.24,85.26,85.11,85.64,84.64,84.48
t0-sv,75.05,74.48,77.66,77.88,78.42,78.39,77.25,78.14,77.46,77.5,77.79,77.58,77.68,78.17,78.42,78.14,77.5,77.7,77.8,76.88,76.91,76.93,76.43,76.86,76.89
t0-tr,54.87,56.73,55.76,57.63,57.61,56.34,56.87,56.56,55.3,55.14,56.48,56.58,54.19,53.59,54.34,54.38,54.06,53.47,54.71,54.39,53.15,52.09,52.77,52.08,53.03
t0-zh,58.7,60.38,61.97,62.55,63.09,61.9,61.64,63.29,61.67,61.98,61.95,61.64,60.87,62.13,61.3,61.14,60.95,61.57,61.45,60.32,62.33,59.93,60.46,60.63,60.82
t1-ar,76.54,77.68,77.29,77.58,77.43,77.43,77.63,77.01,76.4,76.82,76.65,76.74,75.8,75.65,75.84,75.49,75.35,75.22,74.93,75.41,74.74,75.36,75.02,74.72,74.53
t1-bg,86.99,88.62,88.48,88.53,89.05,89.01,88.71,88.78,88.52,88.67,88.38,88.61,88.17,88.18,88.69,88.1,88.19,88.0,88.08,87.89,87.95,87.86,87.61,87.87,87.92
t1-eu,71.48,73.25,73.87,74.04,73.32,72.94,73.44,73.18,73.43,72.55,72.59,72.31,71.53,71.63,71.99,71.68,71.51,71.46,72.24,71.44,71.46,71.32,71.83,71.29,71.13
t1-fa,76.82,77.36,78.59,79.81,79.46,79.58,78.54,78.44,78.57,78.25,77.82,77.74,77.57,77.87,78.01,77.11,76.49,75.32,75.99,76.91,76.59,76.68,76.43,76.43,75.56
t1-fi_ftb,80.26,82.35,83.04,83.79,83.45,83.66,83.71,83.6,83.58,83.27,83.35,83.36,82.61,83.17,83.03,83.27,82.92,82.94,83.15,82.87,82.94,83.15,82.59,83.01,82.97
t1-grc,58.81,61.09,62.39,61.83,62.88,61.93,62.26,61.89,62.73,62.32,61.03,60.71,61.26,59.9,59.88,60.27,59.73,60.03,60.14,59.19,59.11,59.19,59.66,59.07,59.29
t1-he,78.36,81.5,82.07,82.0,82.63,82.23,81.76,82.06,81.87,81.03,81.79,81.63,81.54,81.38,81.53,81.42,81.44,81.64,81.53,81.26,81.43,81.41,81.3,81.78,81.66
t1-hr,78.31,78.92,80.24,80.85,81.06,80.33,80.66,79.91,80.16,78.79,79.69,78.85,79.21,78.76,78.86,78.17,78.66,78.04,78.79,78.04,78.03,79.01,77.85,78.27,78.29
t1-it,85.34,85.96,87.0,87.07,87.09,86.91,86.35,86.53,86.73,86.89,86.29,86.59,85.98,86.09,86.1,86.03,85.98,86.28,85.88,85.82,85.67,86.17,85.72,86.34,85.99
t1-la_proiel,69.64,71.69,72.95,73.23,73.9,73.22,72.52,73.09,72.37,72.34,71.44,71.03,71.58,71.18,71.38,70.5,70.76,70.97,70.59,70.48,71.31,70.66,69.92,70.4,70.38
t1-nl,80.06,81.08,82.19,81.98,82.2,82.37,81.84,81.96,81.91,81.52,81.28,80.95,80.53,81.69,81.11,81.32,80.57,80.86,80.88,81.36,81.17,80.63,81.2,80.51,80.82
t1-pl,85.16,87.27,87.99,88.88,88.56,88.37,88.14,88.58,88.78,89.12,88.65,88.8,88.61,88.36,87.67,88.43,88.67,88.57,88.44,88.66,88.65,88.34,88.13,88.52,88.13
t1-sv,75.64,78.62,79.72,78.91,79.71,80.6,79.81,79.38,78.33,78.31,78.8,79.73,78.3,79.17,79.01,78.21,78.68,77.97,78.5,78.51,78.29,78.43,78.13,78.45,78.55
t1-tr,57.14,60.63,60.2,59.69,58.28,57.04,59.04,56.03,58.01,57.46,56.27,55.6,54.97,56.76,55.63,54.74,55.16,55.3,55.46,54.32,55.77,54.83,55.41,54.43,54.62
t1-zh,64.81,67.07,68.29,67.48,68.44,67.93,66.47,67.8,67.09,68.11,66.98,66.49,67.23,65.62,65.68,66.96,65.42,66.38,66.15,65.79,65.74,65.49,66.34,65.96,64.91
t2-ar,76.28,78.17,77.74,77.7,78.16,77.96,77.37,78.11,77.76,77.44,77.29,77.38,77.45,76.59,76.95,76.52,76.77,76.63,76.79,76.57,76.44,76.98,76.47,76.48,76.3
t2-bg,87.84,88.44,89.46,89.55,89.21,89.05,89.48,89.13,88.64,88.92,89.25,88.88,88.54,88.91,88.74,88.84,89.07,88.29,88.59,88.66,88.87,88.72,88.74,88.53,88.71
t2-eu,72.17,74.5,73.92,74.53,74.63,74.92,75.07,74.36,74.82,74.21,74.89,74.3,73.69,73.64,73.67,73.65,73.36,73.16,73.62,73.5,73.38,73.11,73.16,73.17,72.73
